taxid	Domain	Phylum	Class	Order	Family	Genus
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiella
Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Holosporaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Thermomarinilinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermomarinilinea
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Oscillatoriaceae;Phormidium ETS-05	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae	Phormidium ETS-05
Bacteria;Firmicutes;Incertae Sedis;DTU014;NA;NA	Bacteria	Firmicutes	Incertae Sedis	DTU014	NA	NA
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Arthrospira PCC-7345	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Arthrospira PCC-7345
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	uncultured
Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria;NA;NA	Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	NA	NA
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	TPD-58
Bacteria;Patescibacteria;Parcubacteria;Candidatus Lloydbacteria;NA;NA	Bacteria	Patescibacteria	Parcubacteria	Candidatus Lloydbacteria	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiophaeococcus	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiophaeococcus
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	uncultured
